노선명,size,min,max,mean
602,1360,0.0,20.391962854502108,6.443817960974229
603,1214,0.0,19.66307790118621,5.892351776502318
604,1317,0.0,21.808337466979417,6.832671107147164
605,1554,0.0,23.7352998713254,6.68260276896522
606,477,0.0,20.336360588331896,6.748145905826936
6211,1820,0.0,25.737967318919857,6.348233489248587
640,1251,0.0,25.913879615545476,8.188248682163644
641,1712,0.0,21.49319557104313,5.561527536481825
6411,1720,0.0,23.617225565023347,6.2179453408218945
643,1562,0.0,25.634295727481106,7.443202098458403
650,1646,0.0,20.356170828892576,5.6426010678006335
651,1633,0.0,23.27091982978187,7.5918024723747415
6511,657,0.0,9.498981298706429,3.2047557427181244
6512,1056,0.0,9.100584657109426,3.1426511748625727
6514,1728,0.0,17.355918774633157,5.05053511362401
6515,1504,0.0,15.847077001206191,4.184039623389421
6516,1066,0.0,11.290506811801585,3.0833614573723187
652,1702,0.0,14.730885921470243,4.444321714714402
653,383,0.0,10.627266242875418,3.3961357960604945
654,1557,0.0,18.771828166226044,5.212427359111826
660,1002,0.0,12.925622819481756,5.146387877834858
661,468,0.0,11.056285221843025,4.256057257139032
6611,171,0.0,3.125172315415702,1.2934549554906343
6613,546,0.0,9.64120954818123,2.921487914524544
6614,659,0.0,8.427069103204456,2.956354923948169
6615,143,0.0,4.939801634727419,1.7019213578476735
6616,221,0.0,4.775828192547895,1.6970429180383972
6617,477,0.0,5.080750764054822,1.9814134865956339
662,812,0.0,13.95909451979261,4.765192657199206
6620,470,0.0,8.645347467372623,2.4571033241106495
6623,859,0.0,12.039710629862432,3.852759468218741
6624,737,0.0,6.81544855107282,2.157642207242089
6625,594,0.0,8.709684165389916,2.385706712970168
6627,910,0.0,7.688558196966119,3.2295450835481914
6628,819,0.0,14.43941497308706,4.663607503930238
6629,1262,0.0,15.123958813270328,3.620341856269183
6630,924,0.0,11.135273597750581,3.0351804930256017
6631,1185,0.0,15.814607415498728,4.384519910903788
6632,584,0.0,14.158253588821403,3.5077259334468525
6635,46,0.0,4.132603801897862,1.7176173900507052
6637,554,0.0,7.781063061187668,3.2902253721478045
